qc;rpm;ms;
480361;146;50;
480635;146;50;
480858;146;50;
481133;145;50;
481354;147;50;
481634;145;50;
481847;148;50;
482138;142;50;
482333;153;50;
482658;129;50;
482782;238;50;
484275;1511;50;
487137;1621;50;
489798;1597;50;
492589;1607;50;
495284;1602;50;
498057;1605;50;
500763;1603;50;
503528;1604;50;
506239;1604;50;
509001;1604;50;
511714;1604;50;
514476;1604;50;
517187;1604;50;
519952;1603;50;
522658;1605;50;
525431;1602;50;
528126;1607;50;
530917;1597;50;
533578;1621;50;
536440;1511;50;
537933;238;50;
538057;129;50;
538382;153;50;
538577;142;50;
538868;148;50;
539081;145;50;
539361;147;50;
539582;145;50;
539857;146;50;
540080;146;50;
540354;146;50;
540578;146;50;
540853;145;50;
541074;147;50;
541353;145;50;
541567;148;50;
541858;142;50;
542053;153;50;
542378;129;50;
542502;238;50;
543995;1511;50;
546857;1621;50;
549518;1597;50;
552309;1607;50;
555004;1602;50;
557776;1605;50;
560483;1603;50;
563248;1604;50;
565959;1604;50;
568721;1604;50;
571433;1604;50;
574196;1604;50;
576907;1604;50;
579672;1603;50;
582378;1605;50;
585150;1602;50;
587846;1607;50;
590636;1597;50;
593298;1621;50;
596160;1511;50;
597197;875;50;
597197;0;0;
