#Trial: 2  Nodes(1-6) mA, sample number 
40, 1269, 1713, 6, 94, 2015, 1.0
359, 465, 182, 216, 14, 237, 2.0
299, 149, 87, 407, 111, 56, 3.0
750, 2009, 1628, 275, 406, 276, 4.0
713, 321, 348, 75, 154, 789, 5.0
68, 454, 946, 36, 18, 1461, 6.0
527, 4, 6, 188, 310, 304, 7.0
247, 311, 223, 434, 248, 297, 8.0
1380, 9, 14, 955, 534, 55, 9.0
14, 101, 147, 64, 537, 117, 10.0
157, 272, 287, 805, 32, 131, 11.0
11, 776, 1220, 84, 31, 1748, 12.0
64, 145, 14, 155, 274, 706, 13.0
985, 539, 118, 788, 744, 504, 14.0
620, 15, 41, 1012, 1889, 69, 15.0
682, 1867, 1643, 195, 22, 249, 16.0
47, 643, 387, 195, 1379, 131, 17.0
32, 833, 835, 88, 12, 25, 18.0
35, 677, 502, 348, 101, 1269, 19.0
1287, 29, 419, 403, 216, 1454, 20.0
677, 417, 455, 32, 401, 134, 21.0
2014, 139, 40, 2013, 1416, 103, 22.0
34, 49, 252, 56, 467, 352, 23.0
24, 427, 355, 293, 1, 2008, 24.0
5, 268, 1612, 233, 123, 2019, 25.0
1237, 110, 101, 1304, 93, 150, 26.0
29, 101, 363, 68, 1082, 164, 27.0
450, 1, 28, 1765, 1283, 34, 28.0
993, 2021, 1681, 631, 508, 121, 29.0
473, 253, 1121, 84, 137, 354, 30.0
231, 742, 1669, 90, 178, 2016, 31.0
2017, 573, 128, 359, 68, 367, 32.0
179, 302, 521, 443, 34, 192, 33.0
219, 54, 82, 2014, 2012, 125, 34.0
553, 2012, 2016, 775, 29, 342, 35.0
569, 68, 40, 620, 360, 1794, 36.0
63, 205, 1065, 171, 13, 1614, 37.0
1919, 418, 554, 450, 75, 5, 38.0
150, 290, 158, 150, 815, 236, 39.0
1168, 51, 63, 1507, 2009, 35, 40.0
402, 39, 1975, 21, 2013, 280, 41.0
113, 721, 951, 147, 597, 83, 42.0
